D & B Used Cars|111 Old Benbrook Rd|817-555-5555
10112|1993|Ford|Explorer|SUV|Red|525123|995.00
37846|2001|Ford|Ranger|truck|Yellow|172544|1995.00
289734|2025|ford|mustang-e|car|black|2387493|32905.00
298345|2024|chevrolet|silverado|truck|white|125000|38999.99
273849|2023|toyota|rav4|suv|blue|45230|28950.75
265498|2022|honda|civic|car|red|38900|21495.00
294756|2025|tesla|model-3|car|gray|15320|44999.00
281234|2021|jeep|wrangler|suv|green|87230|31500.50
267845|2020|nissan|altima|car|silver|98300|17420.00
299123|2024|ford|f-150|truck|blue|44210|41000.00
278934|2023|subaru|outback|suv|tan|62300|30500.00
290001|2025|bmw|x5|suv|black|11200|61250.00
